402.00,1.00,4.21,0.19,0.74,96.00,59.00,120.00,35.65,101163.49,13.45,37.25,context1
402.00,1.00,4.21,0.19,0.74,96.00,59.00,120.00,35.65,101163.49,13.45,37.25,context1
403.00,0.00,4.15,0.22,0.71,73.00,40.00,103.00,36.04,101185.17,11.65,36.43,context1
403.00,0.00,4.15,0.22,0.71,73.00,39.00,104.00,36.04,101185.17,11.65,36.01,context1
403.00,0.00,4.15,0.22,0.71,76.00,42.00,104.00,36.04,101184.32,11.72,36.31,context1
403.00,0.00,4.15,0.22,0.71,73.00,39.00,103.00,36.04,101184.66,11.69,36.35,context1
403.00,0.00,4.15,0.22,0.71,73.00,41.00,106.00,36.04,101184.66,11.69,36.30,context1
403.00,0.00,4.15,0.22,0.71,72.00,39.00,103.00,36.04,101183.80,11.76,36.02,context1
403.00,0.00,4.15,0.22,0.71,75.00,42.00,102.00,36.04,101182.60,11.86,36.31,context1
403.00,0.00,4.15,0.22,0.71,73.00,40.00,104.00,36.04,101182.88,11.84,36.20,context1
403.00,0.00,4.15,0.22,0.71,72.00,39.00,103.00,36.04,101182.88,11.85,36.01,context1
403.00,0.00,4.15,0.22,0.71,74.00,40.00,103.00,36.04,101182.02,11.92,36.28,context1
403.00,0.00,4.15,0.22,0.71,73.00,40.00,103.00,36.04,101183.66,11.76,36.35,context1
403.00,0.00,4.15,0.22,0.71,75.00,40.00,103.00,36.04,101184.69,11.70,36.51,context1
403.00,0.00,4.15,0.22,0.71,73.00,39.00,104.00,36.04,101184.69,11.70,36.02,context1
400.00,0.00,4.15,0.22,0.71,73.00,41.00,104.00,36.04,101184.69,11.69,36.15,context1
400.00,0.00,4.15,0.22,0.71,73.00,39.00,104.00,36.05,101186.00,11.58,35.93,context1
400.00,0.00,4.15,0.22,0.71,73.00,39.00,104.00,36.05,101186.68,11.48,36.21,context1
400.00,0.00,4.15,0.22,0.71,73.00,39.00,103.00,36.05,101187.03,11.48,36.37,context1
400.00,0.00,4.15,0.22,0.71,74.00,40.00,103.00,36.05,101186.85,11.49,36.26,context1
400.00,0.00,4.15,0.22,0.71,73.00,40.00,103.00,36.04,101186.24,11.56,36.57,context1
400.00,0.00,4.15,0.22,0.71,74.00,40.00,103.00,36.04,101185.89,11.56,36.50,context1
400.00,0.00,4.15,0.22,0.71,73.00,41.00,104.00,36.05,101186.51,11.54,36.39,context1
400.00,0.00,4.15,0.22,0.71,73.00,40.00,103.00,36.05,101186.85,11.49,36.17,context1
400.00,0.00,4.15,0.22,0.71,75.00,40.00,102.00,36.05,101186.96,11.47,36.39,context1
400.00,0.00,4.15,0.22,0.71,73.00,39.00,103.00,36.05,101187.99,11.41,35.95,context1
400.00,0.00,4.15,0.22,0.71,75.00,40.00,103.00,36.05,101187.64,11.44,36.21,context1
400.00,0.00,4.15,0.22,0.71,73.00,40.00,103.00,36.05,101187.71,11.44,36.10,context1
413.00,0.00,4.17,0.22,0.71,74.00,40.00,103.00,36.05,101187.03,11.49,36.15,context1
